time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702412295.2175994;PPO;env;4;2.6681751878635556;[2.62880626 2.66817519 2.61059485 2.62196865];1;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702415446.5545883;PPO;env;4;2.6438048193007364;[2.61509481 2.64380482 2.62353975 2.62360149];2;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702417304.3206148;PPO;env;4;2.6333656672832073;[2.61347947 2.63336567 2.62385459 2.61358882];3;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702418459.922303;PPO;env;4;2.629124575185483;[2.61568781 2.62780638 2.62912458 2.62061936];4;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702419232.0710576;PPO;env;4;2.6268537915372976;[2.61803762 2.62659728 2.62685379 2.61805989];5;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702419769.7113643;PPO;env;4;2.627202579111161;[2.61925109 2.62713713 2.62720258 2.62021739];6;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702420191.4578009;PPO;env;4;2.62929745455699;[2.6219288  2.62611562 2.62929745 2.6190491 ];7;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702420544.9208553;PPO;env;4;2.6283150218733455;[2.62293498 2.62675102 2.62831502 2.61883734];8;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702420864.9184349;PPO;env;4;2.628137500164083;[2.62350704 2.62349258 2.6281375  2.62044963];9;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702421160.188291;PPO;env;4;2.627665673280979;[2.62463796 2.62349778 2.62766567 2.62016199];10;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702421442.5454268;PPO;env;4;2.6270430087876395;[2.62215993 2.62491375 2.62704301 2.62185936];11;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702421721.02445;PPO;env;4;2.6283398651475403;[2.6209377  2.62569204 2.62833987 2.62137506];12;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
