time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702412334.1376083;PPO;env;4;2.627498585900674;[2.62385572 2.62749859 2.62397099 2.60632305];1;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702415630.7180495;PPO;env;4;2.62896397851263;[2.61122411 2.62896398 2.6034401  2.59738178];2;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702417583.5735502;PPO;env;4;2.6146576418229652;[2.59923565 2.61432433 2.61465764 2.61446868];3;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702418880.1968083;PPO;env;4;2.6194301586610607;[2.59620724 2.61098304 2.61253631 2.61943016];4;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702419795.0280418;PPO;env;4;2.619058421554453;[2.59814136 2.60456459 2.61519499 2.61905842];5;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702420479.3064919;PPO;env;4;2.6152252450319953;[2.60006006 2.60553839 2.61522525 2.61097491];6;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702421040.3177462;PPO;env;4;2.6121594380614233;[2.60114367 2.60684237 2.61134838 2.61215944];7;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702421552.0147321;PPO;env;4;2.614644885642303;[2.60206818 2.60220995 2.61464489 2.6095016 ];8;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702422021.7127476;PPO;env;4;2.6131314978188147;[2.60094502 2.60404583 2.6131315  2.61154318];9;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702422466.7312748;PPO;env;4;2.6144190739054354;[2.60077218 2.60394191 2.61441907 2.60629541];10;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702422894.9478986;PPO;env;4;2.611015526767692;[2.60006777 2.6052242  2.61101553 2.61086995];11;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702423317.0612214;PPO;env;4;2.609980916193873;[2.59812556 2.60473318 2.60981715 2.60998092];12;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702423740.6440265;PPO;env;4;2.6108732332605173;[2.5990926  2.6057341  2.61087323 2.60904324];13;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702424160.5806515;PPO;env;4;2.609542020739113;[2.60178013 2.60856544 2.60892263 2.60954202];14;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702424581.756263;PPO;env;4;2.609352224471952;[2.60285706 2.60850032 2.60874534 2.60935222];15;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702424998.7738721;PPO;env;4;2.6107406507182485;[2.60106796 2.60897787 2.60751224 2.61074065];16;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702425419.3594494;PPO;env;4;2.612401263970977;[2.60239705 2.61031999 2.60786363 2.61240126];17;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
1702425840.6252868;PPO;env;4;2.6140500566613643;[2.60106354 2.61187154 2.6042144  2.61405006];18;1000;0;10000.0;./weights/PPO-env-4-ECL.sav
